财务部考核方案-岗位名称,财务部考核方案-姓名,财务部考核方案-基本工资,财务部考核方案-考核项目,财务部考核方案-考核项目.1,财务部考核方案-考核项目.2,财务部考核方案-考核项目.3,财务部考核方案-考核项目.4,财务部考核方案-考核标准,财务部考核方案-考核标准.1,财务部考核方案-考核标准.2,财务部考核方案-权重,提成办法
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,2、工作认真，不发生错收款并正确开具发票或收据,2、工作认真，不发生错收款并正确开具发票或收据,2、工作认真，不发生错收款并正确开具发票或收据,10%,绩效工资500元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,3、每天下班前及时向出纳交帐,3、每天下班前及时向出纳交帐,3、每天下班前及时向出纳交帐,5%,绩效工资500元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,4、对客户热情、有礼貌,4、对客户热情、有礼貌,4、对客户热情、有礼貌,5%,绩效工资500元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,5、遵守公司各项规章制度，不迟到、早退、擅自离岗,5、遵守公司各项规章制度，不迟到、早退、擅自离岗,5、遵守公司各项规章制度，不迟到、早退、擅自离岗,5%,绩效工资500元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,6、妥善保管发票及发票专用章,6、妥善保管发票及发票专用章,6、妥善保管发票及发票专用章,10%,绩效工资500元
前台收银员,,600元,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,负责售后维修结算,7、整理维修发票、货物发票，并正确填写每本开具金额,7、整理维修发票、货物发票，并正确填写每本开具金额,7、整理维修发票、货物发票，并正确填写每本开具金额,5%,绩效工资500元
前台收银员,,600元,负责收取精品、装具销售款,负责收取精品、装具销售款,负责收取精品、装具销售款,负责收取精品、装具销售款,负责收取精品、装具销售款,1、严格审核审批权限、打折额度，收款无误后开具发票或收据,1、严格审核审批权限、打折额度，收款无误后开具发票或收据,1、严格审核审批权限、打折额度，收款无误后开具发票或收据,10%,绩效工资500元
前台收银员,,600元,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,1、登记流水帐及时、准确、清楚（当天将流水帐登记完毕）,1、登记流水帐及时、准确、清楚（当天将流水帐登记完毕）,1、登记流水帐及时、准确、清楚（当天将流水帐登记完毕）,5%,绩效工资500元
前台收银员,,600元,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,负责登记售后维修收入流水帐,2、妥善保管维修收入流水帐和结算原始单据,2、妥善保管维修收入流水帐和结算原始单据,2、妥善保管维修收入流水帐和结算原始单据,5%,绩效工资500元
前台收银员,,600元,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,1、报表及时、准确（周报星期六、月报次月3日内）,1、报表及时、准确（周报星期六、月报次月3日内）,1、报表及时、准确（周报星期六、月报次月3日内）,10%,绩效工资500元
前台收银员,,600元,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,负责报送售后维修材料、工时周报、月报,2、及时反馈未结算单据信息,2、及时反馈未结算单据信息,2、及时反馈未结算单据信息,10%,绩效工资500元
前台收银员,,600元,负责报送精品、装具销售统计报表,负责报送精品、装具销售统计报表,负责报送精品、装具销售统计报表,负责报送精品、装具销售统计报表,负责报送精品、装具销售统计报表,1、报表及时、准确（周报星期六、月报次月3日内）,1、报表及时、准确（周报星期六、月报次月3日内）,1、报表及时、准确（周报星期六、月报次月3日内）,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,1、严格按照符合规定的商品车销售合同金额收取整车款、并在商品车出门证和赠品领用单上加盖发票专用章,1、严格按照符合规定的商品车销售合同金额收取整车款、并在商品车出门证和赠品领用单上加盖发票专用章,1、严格按照符合规定的商品车销售合同金额收取整车款、并在商品车出门证和赠品领用单上加盖发票专用章,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,2、按照销售合同名称正确开具机动车销售发票,2、按照销售合同名称正确开具机动车销售发票,2、按照销售合同名称正确开具机动车销售发票,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,3、帐目日清月结并及时向出纳交账,3、帐目日清月结并及时向出纳交账,3、帐目日清月结并及时向出纳交账,5%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,4、对客户热情、有礼貌,4、对客户热情、有礼貌,4、对客户热情、有礼貌,5%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,5、及时整理机动车销售发票，及时汇报发票使用填开情况,5、及时整理机动车销售发票，及时汇报发票使用填开情况,5、及时整理机动车销售发票，及时汇报发票使用填开情况,5%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,6、妥善保管发票及发票专用章,6、妥善保管发票及发票专用章,6、妥善保管发票及发票专用章,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,负责整车收银、机动车发票管理与开具,7、遵守公司各项规章制度，不迟到、早退、擅自离岗,7、遵守公司各项规章制度，不迟到、早退、擅自离岗,7、遵守公司各项规章制度，不迟到、早退、擅自离岗,5%,绩效工资500元
整车收银兼保险出单员,,600元,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,1、认真打印新车、续保保单,1、认真打印新车、续保保单,1、认真打印新车、续保保单,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,2、准确收取保险手续费,2、准确收取保险手续费,2、准确收取保险手续费,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,3、建立备查簿，做好各保险公司保险出单明细登记工作,3、建立备查簿，做好各保险公司保险出单明细登记工作,3、建立备查簿，做好各保险公司保险出单明细登记工作,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,负责新车保险、旧车续保出保单并收取保险手续费,4、月底做好和各保险公司手续费对帐工作,4、月底做好和各保险公司手续费对帐工作,4、月底做好和各保险公司手续费对帐工作,10%,绩效工资500元
整车收银兼保险出单员,,600元,负责代办消贷手续费收取,负责代办消贷手续费收取,负责代办消贷手续费收取,负责代办消贷手续费收取,负责代办消贷手续费收取,1、每笔代办消费贷款收取手续费1000元,1、每笔代办消费贷款收取手续费1000元,1、每笔代办消费贷款收取手续费1000元,10%,绩效工资500元
,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。,注：权重低于80%当月提成取消，权重80%-100%之间以实际比例提成。
